Continent,Country/area,GDP per capita (PPP),,Currency,Currency/USD,,Obesity rate (2016),Smoking rate (2021),,,,,,,,,,,,
Asia,Afghanistan,356,,AFN,0.014705881,,4.50%,10.28%,,,,,,,,,,,,
Europe,Albania,"18,552",,ALL,0.011076885,,22.30%,31.81%,,,,,,,,,,,,
Africa,Algeria,"13,210",,DZD,0.007514672,,26.60%,16.67%,,,,,,,,,,,,
Oceania,American Samoa,"19,673",,USD (peg),1,,29.90%,32.05%,,,,,,,,,,,,
Europe,Andorra,"41,993",,EUR,1.09225037,,28.00%,28.16%,,,,,,,,,,,,
Africa,Angola,"6,974",,AOA,0.001095355,,6.80%,10.54%,,,,,,,,,,,,
Americas,Antigua and Barbuda,"25,337",,XCD,0.380304,,19.10%,8.85%,,,,,,,,,,,,
Americas,Argentina,"26,505",,ARS,0.001026003,,28.50%,24.17%,,,,,,,,,,,,
Asia,Armenia,"18,942",,AMD,0.002582978,,20.90%,27.59%,,,,,,,,,,,,
Oceania,Australia,"62,625",,AUD,0.672105343,,30.40%,14.33%,,,,,,,,,,,,
Europe,Austria,"67,936",,EUR,1.09225037,,21.90%,30.40%,,,,,,,,,,,,
Asia,Azerbaijan,"17,764",,AZN,0.588235294,,19.90%,22.74%,,,,,,,,,,,,
Americas,Bahamas,"40,379",,BSD (USD peg),1,,32.10%,7.38%,,,,,,,,,,,,
Asia,Bahrain,"61,228",,BHD,2.652864696,,28.70%,17.27%,,,,,,,,,,,,
Asia,Bangladesh,"7,395",,BDT,0.008365206,,3.40%,24.04%,,,,,,,,,,,,
Americas,Barbados,"17,837",,BBD,0.5,,24.80%,7.84%,,,,,,,,,,,,
Europe,Belarus,"22,591",,BYN,0.305458233,,26.60%,29.91%,,,,,,,,,,,,
Europe,Belgium,"65,027",,EUR,1.09225037,,24.50%,22.33%,,,,,,,,,,,,
Americas,Belize,"11,451",,BZD,0.495927444,,22.40%,12.63%,,,,,,,,,,,,
Africa,Benin,"4,056",,XOF,0.00166,,8.20%,5.27%,,,,,,,,,,,,
Americas,Bermuda,"118,774",,BMD (USD),1,,24.47%,13.33%,,,,,,,,,,,,
Asia,Bhutan,"3,560",,BTN,0.011906822,,5.80%,10.02%,,,,,,,,,,,,
Americas,Bolivia,"9,684",,BOB,0.144664645,,18.70%,13.09%,,,,,,,,,,,,
Europe,Bosnia and Herzegovina,"20,377",,BAM,0.559387359,,19.40%,35.60%,,,,,,,,,,,,
Africa,Botswana,"18,323",,BWP,0.075170828,,16.10%,21.94%,,,,,,,,,,,,
Americas,Brazil,"17,822",,BRL,0.179089509,,22.30%,9.57%,,,,,,,,,,,,
Asia,Brunei,"69,275",,BND,0.765023142,,14.70%,16.75%,,,,,,,,,,,,
Europe,Bulgaria,"33,582",,BGN,0.55908556,,27.40%,36.77%,,,,,,,,,,,,
Africa,Burkina Faso,"2,546",,XOF,0.00166,,4.50%,8.84%,,,,,,,,,,,,
Africa,Burundi,836,,BIF,0.000345602,,4.40%,9.77%,,,,,,,,,,,,
Asia,Cambodia,"9,083",,KHR,0.000245844,,3.50%,21.75%,,,,,,,,,,,,
Africa,Cameroon,"5,349",,XAF,0.001666,,9.50%,7.35%,,,,,,,,,,,,
Americas,Canada,"4,408",,CAD,0.726939657,,31.30%,16.33%,,,,,,,,,,,,
Africa,Cape Verde,"58,400",,CVE,0.009922008,,10.60%,6.30%,,,,,,,,,,,,
Africa,Central African Republic,967,,XAF,0.001665124,,6.30%,8.18%,,,,,,,,,,,,
Africa,Chad,"1,668",,XAF,0.001666,,4.80%,9.10%,,,,,,,,,,,,
Americas,Chile,"30,209",,CLP,0.001073272,,28.80%,34.61%,,,,,,,,,,,,
Asia,China,"21,476",,CNY,0.140959963,,6.60%,26.74%,,,,,,,,,,,,
Americas,Colombia,"20,287",,COP,0.000236659,,22.10%,11.38%,,,,,,,,,,,,
Africa,Comoros,"3,832",,KMF,0.002222468,,6.90%,12.86%,,,,,,,,,,,,
Oceania,Cook Islands,15100,,NZD,0.608704,,55.30%,29.53%,,,,,,,,,,,,
Americas,Costa Rica,"24,923",,CRC,0.001935757,,25.70%,10.61%,,,,,,,,,,,,
Africa,Cote d'Ivoire,"2,486",,XOF,0.00166,,9.00%,10.18%,,,,,,,,,,,,
Europe,Croatia,"40,380",,CZK,0.043096005,,27.10%,34.50%,,,,,,,,,,,,
Americas,Cuba,"56,495",,CUP,0.038834951,,26.70%,22.84%,,,,,,,,,,,,
Europe,Cyprus,"49,931",,EUR,1.09225037,,22.60%,32.69%,,,,,,,,,,,,
Europe,Czechia,"49,946",,CZK,0.0430936,,28.50%,28.45%,,,,,,,,,,,,
Africa,Democratic Republic of Congo,"6,538",,CDF,0.000350807,,5.60%,11.13%,,,,,,,,,,,,
Europe,Denmark,"74,005",,DKK,0.146397023,,21.30%,22.17%,,,,,,,,,,,,
Africa,Djibouti,"13,573",,DJF,0.005613552,,12.20%,23.73%,,,,,,,,,,,,
Americas,Dominica,"22,834",,XCD,0.370299,,28.20%,9.95%,,,,,,,,,,,,
Americas,Dominican Republic,"1,337",,DOP,0.016603401,,26.90%,10.31%,,,,,,,,,,,,
Americas,Ecuador,"12,822",,USD (peg),1,,19.30%,14.04%,,,,,,,,,,,,
Africa,Egypt,"15,091",,EGP,0.020590918,,31.10%,23.09%,,,,,,,,,,,,
Americas,El Salvador,"11,096",,SVC,0.114237356,,22.70%,9.62%,,,,,,,,,,,,
Africa,Equatorial Guinea,"17,396",,XAF,0.0016656,,7.40%,15.31%,,,,,,,,,,,,
Africa,Eritrea,644,,ERN,0.066666667,,4.10%,6.53%,,,,,,,,,,,,
Europe,Estonia,"46,697",,EEK,0.0698265,,23.80%,24.12%,,,,,,,,,,,,
Africa,Eswatini,"10,782",,SZL,0.05691859,,13.50%,8.28%,,,,,,,,,,,,
Africa,Ethiopia,"2,812",,ETB,0.008204196,,3.60%,5.97%,,,,,,,,,,,,
Oceania,Fiji,"14,125",,FJD,0.449185851,,30.00%,26.94%,,,,,,,,,,,,
Europe,Finland,"59,027",,EUR,1.092250374,,24.90%,20.36%,,,,,,,,,,,,
Europe,France,"55,493",,EUR,1.092250374,,23.20%,32.93%,,,,,,,,,,,,
Africa,Gabon,"16,471",,XAF,0.0016656,,13.40%,12.38%,,,,,,,,,,,,
Africa,Gambia,"2,510",,GMD,0.01459854,,8.70%,9.96%,,,,,,,,,,,,
Asia,Georgia,"20,113",,GEL,0.367647059,,23.30%,28.63%,,,,,,,,,,,,
Europe,Germany,"63,150",,EUR,1.09225037,,25.70%,26.25%,,,,,,,,,,,,
Africa,Ghana,"6,498",,GHS,0.062683864,,9.70%,6.30%,,,,,,,,,,,,
Europe,Greece,"36,835",,EUR,1.09225037,,27.40%,35.98%,,,,,,,,,,,,
Americas,Greenland,"57,116",,DKK,0.146435,,24.00%,42.31%,,,,,,,,,,,,
Americas,Grenada,"16,987",,XCD,0.370237,,20.20%,10.78%,,,,,,,,,,,,
Oceania,Guam,"35,904",,USD,1,,35.40%,25.34%,,,,,,,,,,,,
Americas,Guatemala,"10,818",,GTQ,0.129256497,,18.80%,11.01%,,,,,,,,,,,,
Africa,Guinea,"3,187",,GNF,0.000115846,,6.60%,8.48%,,,,,,,,,,,,
Africa,Guinea-Bissau,"2,190",,XOF,0.00166566,,8.20%,5.53%,,,,,,,,,,,,
Americas,Guyana,"40,642",,GYD,0.004778119,,19.20%,13.34%,,,,,,,,,,,,
Americas,Haiti,"3,305",,HTG,0.007587426,,20.50%,6.14%,,,,,,,,,,,,
Americas,Honduras,"6,741",,HNL,0.040234564,,19.40%,14.25%,,,,,,,,,,,,
Europe,Hungary,"41,907",,HUF,0.002723161,,28.60%,29.07%,,,,,,,,,,,,
Europe,Iceland,"69,081",,ISK,0.00734538,,23.10%,15.16%,,,,,,,,,,,,
Asia,India,"8,379",,INR,0.011910499,,3.80%,12.31%,,,,,,,,,,,,
Asia,Indonesia,"14,653",,IDR,6.37319E-05,,6.90%,30.79%,,,,,,,,,,,,
Asia,Iran,"18,075",,IRR,2.3753E-05,,25.50%,14.89%,,,,,,,,,,,,
Asia,Iraq,"10,862",,IQD,0.000763085,,27.40%,20.26%,,,,,,,,,,,,
Europe,Ireland,"126,905",,EUR,1.092250374,,26.90%,20.97%,,,,,,,,,,,,
Asia,Israel,"49,509",,ILS,0.2654323,,26.70%,19.81%,,,,,,,,,,,,
Europe,Italy,"51,865",,EUR,1.092250374,,22.90%,22.86%,,,,,,,,,,,,
Americas,Jamaica,"11,822",,JMD,0.00632612,,24.40%,13.21%,,,,,,,,,,,,
Asia,Japan,"45,573",,JPY,0.006723869,,4.40%,21.05%,,,,,,,,,,,,
Asia,Jordan,"11,003",,JOD,1.411233418,,33.40%,33.70%,,,,,,,,,,,,
Asia,Kazakhstan,"30,810",,KZT,0.002034686,,21.30%,22.97%,,,,,,,,,,,,
Africa,Kenya,"5,764",,KES,0.007748935,,6.00%,10.65%,,,,,,,,,,,,
Oceania,Kiribati,"2,365",,AUD,0.673441,,45.60%,47.57%,,,,,,,,,,,,
Asia,Kuwait,"58,056",,KWD,3.262131868,,37.00%,20.86%,,,,,,,,,,,,
Asia,Kyrgyzstan,"6,133",,KGS,0.011737089,,15.40%,23.95%,,,,,,,,,,,,
Asia,Laos,"9,384",,LAK,4.57091E-05,,4.50%,27.58%,,,,,,,,,,,,
Europe,Latvia,"39,956",,LVL,1.55474,,25.70%,32.36%,,,,,,,,,,,,
Asia,Lebanon,n/a,,LBP,1.1164E-05,,31.30%,35.09%,,,,,,,,,,,,
Africa,Lesotho,"2,695",,LSL,0.056899781,,13.50%,21.40%,,,,,,,,,,,,
Africa,Liberia,"1,725",,LRD,0.005179321,,8.60%,7.44%,,,,,,,,,,,,
Africa,Libya,"23,375",,LYD,0.208836891,,31.80%,20.62%,,,,,,,,,,,,
Europe,Liechtenstein,"197,504",,CHF,1.16719,,,,,,,,,,,,,,,
Europe,Lithuania,"48,397",,LTL,0.316459,,28.40%,28.46%,,,,,,,,,,,,
Europe,Luxembourg,"142,214",,EUR,1.092250374,,24.20%,23.78%,,,,,,,,,,,,
Africa,Madagascar,"1,774",,MGA,0.000217615,,4.50%,12.55%,,,,,,,,,,,,
Africa,Malawi,"1,732",,MWK,0.000576538,,4.70%,12.96%,,,,,,,,,,,,
Asia,Malaysia,"33,434",,MYR,0.233018758,,15.30%,22.19%,,,,,,,,,,,,
Asia,Maldives,"24,772",,MVR,0.065125366,,7.90%,31.05%,,,,,,,,,,,,
Africa,Mali,"2,517",,XOF,0.00166584,,7.10%,10.77%,,,,,,,,,,,,
Europe,Malta,"55,928",,EUR,1.092250374,,31.00%,23.85%,,,,,,,,,,,,
Oceania,Marshall Islands,"7,228",,USD,1,,52.40%,23.34%,,,,,,,,,,,,
Africa,Mauritania,"6,424",,MRU,0.025249607,,11.30%,17.71%,,,,,,,,,,,,
Africa,Mauritius,"26,906",,MUR,0.02168727,,11.50%,24.15%,,,,,,,,,,,,
Americas,Mexico,"21,512",,MXN,0.05122786,,28.40%,17.05%,,,,,,,,,,,,
Oceania,Micronesia (country),"3,855",,USD (peg),1,,41.60%,49.75%,,,,,,,,,,,,
Europe,Moldova,"15,238",,MDL,0.056849704,,20.10%,23.38%,,,,,,,,,,,,
Europe,Monaco,"240,862",,EUR,1.092250374,,,,,,,,,,,,,,,
Asia,Mongolia,"14,230",,MNT,0.000294291,,19.60%,29.52%,,,,,,,,,,,,
Europe,Montenegro,"26,984",,EUR,1.092250374,,24.90%,34.21%,,,,,,,,,,,,
Africa,Morocco,"9,519",,MAD,0.101834643,,25.60%,11.76%,,,,,,,,,,,,
Africa,Mozambique,"1,468",,MZN,0.015661707,,6.00%,13.31%,,,,,,,,,,,,
